Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 83  125.9  0.8  0.4  0.8  5.3  127.5  0.8  -4.4  0.8  4.6  0 0 0 0
 84  126.6  0.9  -1.5  0.9  6.5  128.0  1.8  0.8  1.4  10.2  676  13.6417  699  14.0424 
 85  132.2  1.2  7.4  1.2  11.1  123.4  5.6  1.9  4.3  86.0  0 0 0 0
 86  126.1  2.2  1.3  1.7  23.0  127.4  3.1  -3.7  2.5  45.0  6079  14.589  6082  14.2332 
 87  126.5  1.6  5.6  1.7  24.7  130.1  1.8  1.4  2.0  33.6  0 0 0 0
 88  124.6  2.1  2.3  1.5  17.7  131.7  2.7  -1.2  1.9  28.9  0 0 0 0
 89  127.1  2.0  2.5  1.9  31.4  127.0  0.9  0.7  0.8  5.9  4475  14.548  4409  13.7471 
 90  125.4  3.0  2.3  2.9  66.2  128.2  0.4  -3.1  0.4  0.5  0 0 0 0
 91  132.9  2.1  -1.2  1.8  25.9  124.1  1.4  2.1  1.2  11.7  0 0 0 0
 92  131.7  2.7  -5.5  2.9  67.6  130.1  2.9  3.3  2.4  28.6  3118  14.4418  3198  13.368 
 93  122.7  3.8  -0.1  2.6  55.3  130.1  3.1  -3.3  1.8  12.4  0 0 0 0
 94  139.6  3.2  -3.4  2.7  55.5  129.7  2.9  -3.4  2.5  48.6  0 0 0 0
 95  128.4  3.1  1.0  3.0  73.4  140.1  4.5  -1.9  4.1  134.0  628  13.5635  598  14.7954 
 96  125.4  2.6  1.5  1.7  22.2  125.1  3.9  7.4  2.4  49.0  5891  14.2028  5875  13.7613 
 97  130.6  1.7  -6.6  1.1  7.9  116.3  5.9  5.5  3.6  105.2  0 0 0 0
 98  127.5  1.0  -2.6  0.6  3.1  127.5  2.0  1.5  1.1  10.5  0 0 0 0
 99  124.7  2.5  -0.5  2.2  42.3  126.0  1.1  -0.2  1.0  8.5  0 0 0 0
 100  123.7  0.8  0.2  0.5  1.9  121.8  4.1  -0.8  2.5  50.8  0 0 0 0
 101  123.1  2.3  3.5  1.6  21.0  124.3  2.4  1.9  1.6  21.0  0 0 0 0
 102  119.1  2.3  3.5  1.7  23.9  125.2  1.6  2.4  1.1  10.3  0 0 0 0
 103  124.3  1.5  1.0  0.9  7.4  127.9  1.4  -3.5  0.9  5.6  6069  14.0181  6061  13.934 
 104  124.5  1.3  -1.2  0.8  5.7  118.7  2.4  3.6  1.5  17.1  4064  13.5109  4049  13.3223 
 105  124.9  1.9  -2.5  1.4  14.1  135.8  8.2  2.2  5.1  214.7  0 0 0 0
 106  131.7  1.2  -4.6  0.9  5.5  123.1  3.3  8.1  2.4  39.3  6094  14.1581  6097  14.3824 
 107  127.5  2.8  -4.0  2.3  41.8  121.0  2.3  4.4  1.8  27.3  0 0 0 0
