Charge Calibration parameters for Preamplifier Gain of 20
Channel P1_HG_ping P1_err_HG_ping P0_HG_ping P0_err_HG_ping chi2_HG_ping P1_HG_pong P1_err_HG_pong P0_HG_pong P0_err_HG_pong chi2_HG_pong Entries_LG_ping P1_LG_ping Entries_LG_pong P1_LG_pong 
 73  121.7  1.8  1.5  1.2  10.4  124.9  4.7  1.9  3.0  71.0  6165  13.7035  6166  13.7742 
 74  132.0  3.3  -4.0  2.1  36.6  122.7  6.4  2.4  4.1  137.5  0 0 0 0
 75  131.6  4.7  -2.1  3.4  92.2  122.8  3.7  2.1  2.7  58.5  1392  14.0138  1424  13.8004 
 76  123.8  2.7  -2.5  1.9  28.7  118.5  1.7  4.5  1.2  11.1  2368  12.9575  2420  13.8785 
 77  123.3  1.9  0.2  1.3  15.2  126.5  1.0  0.8  0.7  3.8  5432  13.788  5477  14.053 
 78  122.0  2.2  3.4  1.0  7.5  111.1  5.8  3.6  2.9  59.2  6112  14.4326  6129  13.9401 
 79  119.4  0.8  1.8  0.5  2.2  127.5  6.1  -3.7  4.1  120.6  1112  13.2712  1175  14.1146 
 80  122.1  2.5  4.6  2.2  21.9  120.7  3.2  6.2  2.8  33.6  0 0 0 0
 81  120.6  1.7  0.8  1.2  6.8  120.6  4.7  -1.0  3.5  48.3  3468  13.4841  3515  12.5613 
 82  129.2  2.9  -1.1  2.4  24.6  120.6  6.5  6.8  5.3  124.6  241  12.768  229  12.782 
 83  127.7  1.1  -0.3  1.1  5.7  128.5  1.5  -2.4  1.5  9.6  246  12.2784  267  13.163 
 84  117.5  3.0  4.7  3.3  46.9  123.5  1.9  4.1  1.7  6.2  686  13.3892  663  12.7769 
 85  122.5  2.9  4.1  2.9  37.9  123.1  5.0  4.1  4.1  37.7  0 0 0 0
 86  124.9  2.1  2.8  1.7  12.6  124.2  3.3  -1.0  2.8  30.4  6161  13.4513  6152  13.46 
 87  128.4  2.0  -0.8  2.3  23.5  123.9  3.8  1.6  4.5  92.0  0 0 0 0
 88  122.8  3.6  0.6  2.8  33.5  120.4  0.9  3.5  0.7  2.1  0 0 0 0
 89  123.8  1.9  2.4  2.0  17.1  123.4  0.6  1.6  0.6  1.4  4514  13.7511  4532  13.4117 
 90  121.2  2.7  3.8  2.7  31.2  115.7  4.7  5.2  4.1  33.4  0 0 0 0
 91  130.0  2.5  -1.6  2.3  23.3  122.8  2.6  3.1  2.4  25.5  0 0 0 0
 92  114.9  4.2  5.9  4.9  105.3  125.3  4.6  3.3  4.1  37.7  3272  13.5747  3250  12.9647 
 93  122.0  2.9  -2.1  2.2  19.2  120.3  8.9  1.9  5.4  53.2  0 0 0 0
 94  133.6  6.2  -1.9  5.5  121.1  119.8  5.7  3.3  5.5  120.4  0 0 0 0
 95  119.4  4.5  4.1  4.5  88.5  131.6  4.5  -1.3  4.4  81.3  557  13.0426  561  14.3537 
 96  118.9  3.5  0.8  2.4  25.2  124.7  5.7  4.2  3.7  64.9  5820  13.6718  5822  13.4851 
 97  134.9  4.2  -7.7  2.8  30.2  126.0  8.4  4.6  5.5  135.8  0 0 0 0
 98  124.4  2.4  -2.6  1.5  10.1  129.2  2.8  -1.0  1.7  12.9  0 0 0 0
 99  138.3  6.5  -9.5  5.7  272.3  134.7  6.9  -10.0  6.1  314.4  0 0 0 0
 100  120.4  2.9  2.6  1.9  16.0  128.0  10.4  -6.5  6.4  322.9  0 0 0 0
 101  127.9  2.4  0.5  1.7  13.7  125.9  3.0  -0.5  2.2  21.1  0 0 0 0
 102  122.2  1.7  2.9  1.3  8.2  130.0  1.9  -0.4  1.4  8.7  0 0 0 0
 103  137.0  8.5  -6.8  5.2  231.3  126.3  1.7  -4.3  1.2  5.3  6139  13.6484  6120  13.6279 
 104  133.7  9.0  -7.2  5.7  261.0  138.8  7.6  -6.1  4.7  173.9  4261  13.5798  4247  12.4929 
